"DateTime","Unique buyers","Unique buyers"
"2021-05-22 00:00:00",136,136
"2021-05-23 00:00:00",51,51
"2021-05-24 00:00:00",72,72
"2021-05-25 00:00:00",74,74
"2021-05-26 00:00:00",35,35
"2021-05-27 00:00:00",42,42
"2021-05-28 00:00:00",371,371
"2021-05-29 00:00:00",282,282
"2021-05-30 00:00:00",47,47
"2021-05-31 00:00:00",183,183
"2021-06-01 00:00:00",153,153
"2021-06-02 00:00:00",45,45
"2021-06-03 00:00:00",48,48
"2021-06-04 00:00:00",45,45
"2021-06-05 00:00:00",25,25
"2021-06-06 00:00:00",23,23
"2021-06-07 00:00:00",26,26
"2021-06-08 00:00:00",29,29
"2021-06-09 00:00:00",29,29
"2021-06-10 00:00:00",39,39
"2021-06-11 00:00:00",1039,1039
"2021-06-12 00:00:00",85,85
"2021-06-13 00:00:00",167,167
"2021-06-14 00:00:00",48,48
"2021-06-15 00:00:00",88,88
"2021-06-16 00:00:00",156,156
"2021-06-17 00:00:00",113,113
"2021-06-18 00:00:00",839,839
"2021-06-19 00:00:00",131,131
"2021-06-20 00:00:00",215,215
"2021-06-21 00:00:00",120,120
"2021-06-22 00:00:00",121,121
"2021-06-23 00:00:00",193,193
"2021-06-24 00:00:00",450,450
"2021-06-25 00:00:00",1217,1217
"2021-06-26 00:00:00",342,342
"2021-06-27 00:00:00",261,261
"2021-06-28 00:00:00",559,559
"2021-06-29 00:00:00",351,351
"2021-06-30 00:00:00",610,610
"2021-07-01 00:00:00",213,213
"2021-07-02 00:00:00",762,762
"2021-07-03 00:00:00",716,716
"2021-07-04 00:00:00",199,199
"2021-07-05 00:00:00",1137,1137
"2021-07-06 00:00:00",115,115
"2021-07-07 00:00:00",689,689
"2021-07-08 00:00:00",137,137
"2021-07-09 00:00:00",442,442
"2021-07-10 00:00:00",576,576
"2021-07-11 00:00:00",528,528
"2021-07-12 00:00:00",168,168
"2021-07-13 00:00:00",317,317
"2021-07-14 00:00:00",579,579
"2021-07-15 00:00:00",709,709
"2021-07-16 00:00:00",637,637
"2021-07-17 00:00:00",1542,1542
"2021-07-18 00:00:00",400,400
"2021-07-19 00:00:00",834,834
"2021-07-20 00:00:00",234,234
"2021-07-21 00:00:00",933,933
"2021-07-22 00:00:00",284,284
"2021-07-23 00:00:00",1380,1380
"2021-07-24 00:00:00",245,245
"2021-07-25 00:00:00",269,269
"2021-07-26 00:00:00",782,782
"2021-07-27 00:00:00",926,926
"2021-07-28 00:00:00",998,998
"2021-07-29 00:00:00",293,293
"2021-07-30 00:00:00",1285,1285
