"DateTime","Number of sales","Number of sales"
"2021-05-21 00:00:00",343,343
"2021-05-22 00:00:00",296,296
"2021-05-23 00:00:00",77,77
"2021-05-24 00:00:00",151,151
"2021-05-25 00:00:00",176,176
"2021-05-26 00:00:00",48,48
"2021-05-27 00:00:00",68,68
"2021-05-28 00:00:00",571,571
"2021-05-29 00:00:00",688,688
"2021-05-30 00:00:00",73,73
"2021-05-31 00:00:00",438,438
"2021-06-01 00:00:00",403,403
"2021-06-02 00:00:00",62,62
"2021-06-03 00:00:00",83,83
"2021-06-04 00:00:00",61,61
"2021-06-05 00:00:00",31,31
"2021-06-06 00:00:00",46,46
"2021-06-07 00:00:00",37,37
"2021-06-08 00:00:00",40,40
"2021-06-09 00:00:00",48,48
"2021-06-10 00:00:00",79,79
"2021-06-11 00:00:00",1252,1252
"2021-06-12 00:00:00",260,260
"2021-06-13 00:00:00",386,386
"2021-06-14 00:00:00",86,86
"2021-06-15 00:00:00",227,227
"2021-06-16 00:00:00",376,376
"2021-06-17 00:00:00",275,275
"2021-06-18 00:00:00",1314,1314
"2021-06-19 00:00:00",253,253
"2021-06-20 00:00:00",501,501
"2021-06-21 00:00:00",428,428
"2021-06-22 00:00:00",332,332
"2021-06-23 00:00:00",435,435
"2021-06-24 00:00:00",2119,2119
"2021-06-25 00:00:00",2016,2016
"2021-06-26 00:00:00",1304,1304
"2021-06-27 00:00:00",633,633
"2021-06-28 00:00:00",1616,1616
"2021-06-29 00:00:00",762,762
"2021-06-30 00:00:00",903,903
"2021-07-01 00:00:00",399,399
"2021-07-02 00:00:00",1394,1394
"2021-07-03 00:00:00",1012,1012
"2021-07-04 00:00:00",373,373
"2021-07-05 00:00:00",1582,1582
"2021-07-06 00:00:00",189,189
"2021-07-07 00:00:00",1316,1316
"2021-07-08 00:00:00",255,255
"2021-07-09 00:00:00",659,659
"2021-07-10 00:00:00",1320,1320
"2021-07-11 00:00:00",1016,1016
"2021-07-12 00:00:00",315,315
"2021-07-13 00:00:00",713,713
"2021-07-14 00:00:00",831,831
"2021-07-15 00:00:00",1271,1271
"2021-07-16 00:00:00",1620,1620
"2021-07-17 00:00:00",3350,3350
"2021-07-18 00:00:00",930,930
"2021-07-19 00:00:00",1437,1437
"2021-07-20 00:00:00",469,469
"2021-07-21 00:00:00",1423,1423
"2021-07-22 00:00:00",553,553
"2021-07-23 00:00:00",1942,1942
"2021-07-24 00:00:00",514,514
"2021-07-25 00:00:00",747,747
"2021-07-26 00:00:00",2136,2136
"2021-07-27 00:00:00",2880,2880
"2021-07-28 00:00:00",1583,1583
"2021-07-29 00:00:00",666,666
"2021-07-30 00:00:00",1922,1922
"2021-07-31 00:00:00",6290,6290
"2021-08-01 00:00:00",4983,4983
"2021-08-02 00:00:00",8477,8477
"2021-08-03 00:00:00",2258,2258
"2021-08-04 00:00:00",1950,1950
"2021-08-05 00:00:00",827,827
"2021-08-06 00:00:00",1354,1354
"2021-08-07 00:00:00",1331,1331
"2021-08-08 00:00:00",1183,1183
"2021-08-09 00:00:00",2460,2460
"2021-08-10 00:00:00",770,770
"2021-08-11 00:00:00",2445,2445
"2021-08-12 00:00:00",676,676
"2021-08-13 00:00:00",472,472
"2021-08-14 00:00:00",1565,1565
"2021-08-15 00:00:00",1282,1282
"2021-08-16 00:00:00",1464,1464
"2021-08-17 00:00:00",2149,2149
"2021-08-18 00:00:00",1879,1879
"2021-08-19 00:00:00",843,843
"2021-08-20 00:00:00",2127,2127
"2021-08-21 00:00:00",4137,4137
"2021-08-22 00:00:00",4161,4161
"2021-08-23 00:00:00",7258,7258
"2021-08-24 00:00:00",4398,4398
"2021-08-25 00:00:00",3458,3458
"2021-08-26 00:00:00",2212,2212
"2021-08-27 00:00:00",3206,3206
"2021-08-28 00:00:00",3352,3352
"2021-08-29 00:00:00",1157,1157
"2021-08-30 00:00:00",4454,4454
"2021-08-31 00:00:00",1270,1270
"2021-09-01 00:00:00",2185,2185
"2021-09-02 00:00:00",606,606
"2021-09-03 00:00:00",1679,1679
"2021-09-04 00:00:00",452,452
"2021-09-05 00:00:00",286,286
"2021-09-06 00:00:00",284,284
"2021-09-07 00:00:00",1298,1298
"2021-09-08 00:00:00",325,325
"2021-09-09 00:00:00",1451,1451
"2021-09-10 00:00:00",607,607
"2021-09-11 00:00:00",248,248
"2021-09-12 00:00:00",175,175
"2021-09-13 00:00:00",1895,1895
"2021-09-14 00:00:00",2656,2656
"2021-09-15 00:00:00",394,394
"2021-09-16 00:00:00",1462,1462
"2021-09-17 00:00:00",685,685
"2021-09-18 00:00:00",253,253
"2021-09-19 00:00:00",203,203
"2021-09-20 00:00:00",181,181
"2021-09-21 00:00:00",1520,1520
"2021-09-22 00:00:00",1303,1303
"2021-09-23 00:00:00",1159,1159
"2021-09-24 00:00:00",1864,1864
"2021-09-25 00:00:00",307,307
"2021-09-26 00:00:00",312,312
"2021-09-27 00:00:00",2925,2925
"2021-09-28 00:00:00",2612,2612
"2021-09-29 00:00:00",435,435
"2021-09-30 00:00:00",1183,1183
"2021-10-01 00:00:00",2634,2634
"2021-10-02 00:00:00",909,909
"2021-10-03 00:00:00",426,426
"2021-10-04 00:00:00",316,316
"2021-10-05 00:00:00",504,504
"2021-10-06 00:00:00",1493,1493
"2021-10-07 00:00:00",273,273
"2021-10-08 00:00:00",250,250
"2021-10-09 00:00:00",258,258
"2021-10-10 00:00:00",252,252
"2021-10-11 00:00:00",192,192
"2021-10-12 00:00:00",201,201
"2021-10-13 00:00:00",1320,1320
"2021-10-14 00:00:00",277,277
"2021-10-15 00:00:00",353,353
"2021-10-16 00:00:00",206,206
"2021-10-17 00:00:00",151,151
"2021-10-18 00:00:00",95,95
"2021-10-19 00:00:00",909,909
"2021-10-20 00:00:00",238,238
"2021-10-21 00:00:00",1797,1797
"2021-10-22 00:00:00",206,206
"2021-10-23 00:00:00",177,177
"2021-10-24 00:00:00",138,138
"2021-10-25 00:00:00",111,111
"2021-10-26 00:00:00",247,247
"2021-10-27 00:00:00",99,99
"2021-10-28 00:00:00",160,160
"2021-10-29 00:00:00",693,693
"2021-10-30 00:00:00",678,678
"2021-10-31 00:00:00",135,135
"2021-11-01 00:00:00",99,99
"2021-11-02 00:00:00",156,156
"2021-11-03 00:00:00",161,161
"2021-11-04 00:00:00",137,137
"2021-11-05 00:00:00",466,466
"2021-11-06 00:00:00",205,205
"2021-11-07 00:00:00",187,187
"2021-11-08 00:00:00",1638,1638
"2021-11-09 00:00:00",364,364
"2021-11-10 00:00:00",173,173
"2021-11-11 00:00:00",303,303
"2021-11-12 00:00:00",395,395
"2021-11-13 00:00:00",443,443
"2021-11-14 00:00:00",542,542
"2021-11-15 00:00:00",1960,1960
"2021-11-16 00:00:00",2693,2693
"2021-11-17 00:00:00",847,847
"2021-11-18 00:00:00",167,167
"2021-11-19 00:00:00",484,484
"2021-11-20 00:00:00",359,359
"2021-11-21 00:00:00",262,262
"2021-11-22 00:00:00",1416,1416
"2021-11-23 00:00:00",802,802
"2021-11-24 00:00:00",269,269
"2021-11-25 00:00:00",136,136
"2021-11-26 00:00:00",142,142
"2021-11-27 00:00:00",184,184
"2021-11-28 00:00:00",126,126
"2021-11-29 00:00:00",1649,1649
"2021-11-30 00:00:00",407,407
"2021-12-01 00:00:00",129,129
"2021-12-02 00:00:00",191,191
"2021-12-03 00:00:00",94,94
"2021-12-04 00:00:00",117,117
"2021-12-05 00:00:00",167,167
"2021-12-06 00:00:00",1774,1774
"2021-12-07 00:00:00",1405,1405
"2021-12-08 00:00:00",526,526
"2021-12-09 00:00:00",1381,1381
"2021-12-10 00:00:00",356,356
"2021-12-11 00:00:00",238,238
"2021-12-12 00:00:00",189,189
"2021-12-13 00:00:00",1697,1697
"2021-12-14 00:00:00",1753,1753
"2021-12-15 00:00:00",444,444
"2021-12-16 00:00:00",517,517
"2021-12-17 00:00:00",884,884
"2021-12-18 00:00:00",494,494
"2021-12-19 00:00:00",260,260
"2021-12-20 00:00:00",1888,1888
"2021-12-21 00:00:00",585,585
"2021-12-22 00:00:00",530,530
"2021-12-23 00:00:00",382,382
"2021-12-24 00:00:00",383,383
"2021-12-25 00:00:00",408,408
"2021-12-26 00:00:00",2726,2726
"2021-12-27 00:00:00",1277,1277
"2021-12-28 00:00:00",422,422
"2021-12-29 00:00:00",345,345
"2021-12-30 00:00:00",303,303
"2021-12-31 00:00:00",576,576
"2022-01-01 00:00:00",531,531
"2022-01-02 00:00:00",200,200
"2022-01-03 00:00:00",255,255
"2022-01-04 00:00:00",128,128
"2022-01-05 00:00:00",127,127
