"DateTime","Unique buyers","Unique buyers"
"2020-05-26 00:00:00",9,9
"2020-05-27 00:00:00",1,1
"2020-05-28 00:00:00",5,5
"2020-05-29 00:00:00",4,4
"2020-05-30 00:00:00",3,3
"2020-05-31 00:00:00",0,0
"2020-06-01 00:00:00",0,0
"2020-06-02 00:00:00",3,3
"2020-06-03 00:00:00",3,3
"2020-06-04 00:00:00",153,153
"2020-06-05 00:00:00",12,12
"2020-06-06 00:00:00",1,1
"2020-06-07 00:00:00",5,5
"2020-06-08 00:00:00",5,5
"2020-06-09 00:00:00",4,4
"2020-06-10 00:00:00",6,6
"2020-06-11 00:00:00",172,172
"2020-06-12 00:00:00",9,9
"2020-06-13 00:00:00",7,7
"2020-06-14 00:00:00",6,6
"2020-06-15 00:00:00",4,4
"2020-06-16 00:00:00",98,98
"2020-06-17 00:00:00",8,8
"2020-06-18 00:00:00",4,4
"2020-06-19 00:00:00",4,4
"2020-06-20 00:00:00",2,2
"2020-06-21 00:00:00",3,3
"2020-06-22 00:00:00",4,4
"2020-06-23 00:00:00",136,136
"2020-06-24 00:00:00",7,7
"2020-06-25 00:00:00",3,3
"2020-06-26 00:00:00",5,5
"2020-06-27 00:00:00",3,3
"2020-06-28 00:00:00",3,3
"2020-06-29 00:00:00",3,3
"2020-06-30 00:00:00",111,111
"2020-07-01 00:00:00",7,7
"2020-07-02 00:00:00",56,56
"2020-07-03 00:00:00",5,5
"2020-07-04 00:00:00",2,2
"2020-07-05 00:00:00",5,5
"2020-07-06 00:00:00",0,0
"2020-07-07 00:00:00",4,4
"2020-07-08 00:00:00",3,3
"2020-07-09 00:00:00",2,2
"2020-07-10 00:00:00",4,4
"2020-07-11 00:00:00",4,4
"2020-07-12 00:00:00",4,4
"2020-07-13 00:00:00",1,1
"2020-07-14 00:00:00",1,1
"2020-07-15 00:00:00",0,0
"2020-07-16 00:00:00",2,2
"2020-07-17 00:00:00",2,2
"2020-07-18 00:00:00",3,3
"2020-07-19 00:00:00",3,3
"2020-07-20 00:00:00",2,2
"2020-07-21 00:00:00",3,3
"2020-07-22 00:00:00",2,2
"2020-07-23 00:00:00",1,1
"2020-07-24 00:00:00",0,0
"2020-07-25 00:00:00",3,3
"2020-07-26 00:00:00",0,0
"2020-07-27 00:00:00",2,2
"2020-07-28 00:00:00",2,2
"2020-07-29 00:00:00",1,1
"2020-07-30 00:00:00",0,0
"2020-07-31 00:00:00",1,1
"2020-08-01 00:00:00",1,1
"2020-08-02 00:00:00",4,4
"2020-08-03 00:00:00",1,1
"2020-08-04 00:00:00",305,305
"2020-08-05 00:00:00",82,82
"2020-08-06 00:00:00",10,10
"2020-08-07 00:00:00",10,10
"2020-08-08 00:00:00",14,14
"2020-08-09 00:00:00",12,12
